"hasAttachedProperty","hasCooling","hasGarage","hasHeating","hasSpa","hasView","stories","price","bathrooms","bedrooms","city","population","distanceToCoast","AvgIncomeCity","hasPool","furnished","additionalParcels","hasAssociation","hasCarport","hasFireplace","hasHomeWarranty","hasLandLease","isNewConstruction","LivingArea","Yearsold","schoolRating","homeType","homeRating"
0,1,1,1,0,1,1,930000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1277","73","7",3,2
0,0,1,1,0,1,1,915000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1295","70","7",3,2
0,1,1,1,0,1,1,1099000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1810","63","7",3,2
0,1,1,0,0,1,1,805000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1762","67","7",3,1
0,1,1,1,0,1,1,800000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1750","63","7",3,1
0,0,0,0,0,0,1,865000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1400","48","7",3,2
0,1,1,1,0,1,1,979000,2,3,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"1347","66","7",3,2
0,1,1,1,0,1,1,1000000,3,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"2190","61","7",3,2
0,0,0,0,0,0,1,990000,3,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"2565","55","7",3,3
0,1,1,1,0,1,1,880000,2,3,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"1453","56","7",3,2
0,0,1,1,0,1,1,1076000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"2041","64","7",3,2
0,1,1,0,0,1,1,885000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1244","69","7",3,2
0,0,0,0,0,0,1,840000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1367","70","7",3,2
0,1,0,0,0,1,1,1050000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1043","75","7",3,2
0,1,1,1,1,1,1,1045000,2,3,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"1466","67","7",3,3
0,1,1,1,0,1,1,980000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1439","66","7",3,2
0,1,0,1,0,0,1,1012000,2,3,"Anaheim","346,824",15.2,88538,0,1,0,0,0,0,0,0,0,"1500","#N/A","7",3,1
0,1,1,1,0,1,1,860000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1032","64","7",3,1
0,1,1,1,0,1,1,1015000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1312","65","7",3,2
0,1,1,1,0,1,3,964888,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1457","64","7",3,2
0,1,1,1,0,1,1,1058520,3,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1502","68","7",3,2
0,1,1,1,0,1,1,1053400,3,3,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"2059","68","7",3,2
0,1,1,1,0,1,1,810000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1109","67","7",3,1
0,0,1,1,0,1,1,950000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1787","67","7",3,2
0,1,1,1,0,1,1,910000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1786","62","7",3,2
0,0,1,1,0,1,1,1085000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1804","62","7",3,2
0,1,1,1,0,1,1,895000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1524","55","7",3,1
0,1,0,1,0,1,1,935000,2.5,5,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"2465","58","7",3,3
0,1,1,1,0,1,1,970000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1348","69","7",3,2
0,1,1,1,0,1,1,855000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1335","68","7",3,1
1,1,1,0,0,1,2,1074000,3,3,"Anaheim","346,824",15.2,88538,0,0,0,1,0,1,0,0,0,"2113","31","7",3,2
0,1,1,1,0,1,1,900000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1271","72","7",3,2
0,0,1,0,0,1,1,835000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1291","69","7",3,1
0,0,0,0,0,0,1,850000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1812","69","7",3,2
0,1,1,1,0,1,1,940900,3,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1486","58","7",3,2
1,0,1,1,0,1,1,890000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1253","68","7",3,2
0,0,1,1,0,1,1,930000,2,4,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"1792","68","7",3,2
0,1,1,1,0,1,1,1025000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1930","61","7",3,2
0,1,1,1,0,1,1,930000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1374","68","7",3,2
0,1,1,1,0,1,1,950000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1251","65","7",3,2
0,1,1,1,0,1,1,875000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1360","68","7",3,2
0,1,1,1,0,1,1,835000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1335","68","7",3,1
0,1,1,0,0,1,1,925000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1350","69","7",3,2
0,1,1,1,0,1,1,950000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1665","68","7",3,1
0,0,1,0,0,1,1,890000,2,4,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"1317","66","7",3,2
0,1,1,1,0,1,1,950000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1675","69","7",3,2
0,1,1,1,0,1,1,870000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1378","69","7",3,1
